rides_in_progress,rides_completed,avg_surge_multiplier,avg_expected_price,avg_real_price,avg_diff_price,mean_error
0.032365684044502074,0.0203847211168503,0.16153404720725711,0.06849057338541453,0.2368002261463242,0.0624832193650877,0.097009745210906
0.0342141629738122,0.08318032098819192,0.35861214778214306,0.02266551918202898,0.2522159862062093,0.05192056643373132,0.1338014505943528
0.05740233673348,0.022034026588490113,0.32331008753407514,0.005883007233677425,0.2517432760400011,0.05840105642229105,0.11979563175866914
0.05394753309959996,0.019719910771383964,0.30734678455497494,0.1834887896118316,0.008170645997539298,0.00039834660639197764,0.09551200177362028
0.011558360210243781,0.22875659490731096,0.2996088792774485,0.20688708440846684,0.05212070302604631,0.0033842623240565683,0.13371931402559548
0.05486120089796509,0.2258727134228421,0.2973592496408737,0.303249362814828,0.17048607895909612,0.012704001697838564,0.17742210123890725
0.10157959293739403,0.22457447983346368,0.29758768861810075,0.36022472565795655,0.23863563288603828,0.04297634811769041,0.21092974467510725
0.1646445600830468,0.2248580964676564,0.29892334974550927,0.31305167363172726,0.201580677743212,0.06077171719512825,0.21063834581104668
0.17643357902772752,0.013030933915343136,0.2992106789812278,0.21181687345479036,0.06742252207858797,0.1175638845308275,0.14757974533141738
0.20569466429522,0.118846053350586,0.29656189237971153,0.18404254952448615,0.04062857503134807,0.13271318930595463,0.16308115398121772
0.21598253112164886,0.011447817492281796,0.29135467425389117,0.16229451465913272,0.008726227433306201,0.15340198762382473,0.1405346254306809
0.2087231056442884,0.00976218989269324,0.2852608599086107,0.16840223455166967,0.014472034109519081,0.15887145361197239,0.14091531295312557
0.25830861817930095,0.008010877499668969,0.2797340504579195,0.06435199563280554,0.20129102978526636,0.11099864754107144,0.15378253651600546
0.2439469675557907,0.006402070482319625,0.2755204196314003,0.057025456414957626,0.19384067191758184,0.10937800790602915,0.14768559898467987
0.20311067348559225,0.2073240973943104,0.2727479528233014,0.13287917232099186,0.2528995447422746,0.07678595322357497,0.19095789899834092
0.1853467105139601,0.10235008364092607,0.2711689175635169,0.09910676514054678,0.2308726138213635,0.09163096704198963,0.1634126762870505
0.17916597914705068,0.002801111541287178,0.2703942022168563,0.08823451740467038,0.19028940389079216,0.05372051270812205,0.13076762115146312
0.13639828482600763,0.0019396302208980853,0.2700466007950171,0.15409109095475276,0.23987085116551324,0.02359707298742967,0.13765725515826974
0.1427700904644172,0.0012155911003904167,0.269837667891462,0.1390627380156905,0.21198143813028864,0.007575349922036521,0.12874047925404755
0.1376520135932384,0.0006241848116198108,0.2695835574330807,0.1441949953993396,0.20075909143123552,0.014581458438056649,0.1278992168510951
0.15225825309865212,0.0032058446517839036,0.12879169407206523,0.22023512516884894,0.24399365305580004,0.09302123572440697,0.14025096762859288
0.2157857762865308,0.4089163762506577,0.3065677109224894,0.22584652700258967,0.3453728545957559,0.01595657346777406,0.25307430308763296
0.19436405199944523,0.017579813031821,0.2876933789106469,0.22319190847311046,0.37716614993556263,0.005835375520951291,0.18430511297858956
0.1753577358233407,0.014398521125071048,0.2931555047328398,0.054393204406034956,0.13222709734998903,0.06272490352067427,0.12204282782632497
0.14768701680977459,0.010987083094538991,0.3006582741509644,0.08169313888261365,0.11108839684395197,0.0797448386472618,0.12197645807151757
0.09780521592894541,0.008272346766173477,0.306705475883189,0.03173166118119172,0.16718300280363504,0.09623898593698663,0.11798944808335356
0.10074058335130831,0.006607664293627493,0.31003309512798144,0.024736712232898517,0.15358228880977545,0.08716770942908118,0.11381134220744539
0.08289259257797019,0.11236836356884049,0.31245875776520887,0.020426555747968898,0.13308600313292102,0.06996993111447332,0.12186703398456379
0.06723895235818207,0.007141296928721178,0.31609220246816616,0.09383706224483415,0.04452626854569993,0.06693381874787803,0.0992949335489136
0.08785347874272785,0.009269182239142642,0.3209952959313977,0.11226867254764854,0.009860494422472202,0.04621685666216123,0.0977439967575917
