params,score
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.0, 'feed_forward_size': 512, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.013110888190567493
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.0, 'feed_forward_size': 512, 'learning_rate': 0.001, 'n_heads': 8, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.012030597776174545
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.0, 'feed_forward_size': 512, 'learning_rate': 0.001, 'n_heads': 8, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.013110765255987644
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 256, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.00014386740804184228
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 256, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0005212242249399424
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 256, 'learning_rate': 0.0001, 'n_heads': 8, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.00011799808271462098
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 256, 'learning_rate': 0.0001, 'n_heads': 8, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.00021675748575944453
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 256, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.012192917987704277
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 256, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.013110712170600891
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 256, 'learning_rate': 0.001, 'n_heads': 8, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.012212609872221947
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 256, 'learning_rate': 0.001, 'n_heads': 8, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.013111207634210587
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 512, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0002793825406115502
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 512, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0002597870188765228
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 512, 'learning_rate': 0.0001, 'n_heads': 8, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.00013940253120381385
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 512, 'learning_rate': 0.0001, 'n_heads': 8, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.00038664130261167884
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 512, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.012463409453630447
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 512, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.013110759668052197
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 512, 'learning_rate': 0.001, 'n_heads': 8, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.01225405652076006
"{'batch_size': 32, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 512, 'learning_rate': 0.001, 'n_heads': 8, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.01311070378869772
"{'batch_size': 64, 'd_model': 64, 'dropout_rate': 0.0, 'feed_forward_size': 128, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0002469576138537377
"{'batch_size': 64, 'd_model': 64, 'dropout_rate': 0.0, 'feed_forward_size': 128, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.00039844997809268534
"{'batch_size': 64, 'd_model': 64, 'dropout_rate': 0.0, 'feed_forward_size': 128, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0010419705649837852
"{'batch_size': 64, 'd_model': 64, 'dropout_rate': 0.0, 'feed_forward_size': 128, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.011829019524157047
"{'batch_size': 64, 'd_model': 64, 'dropout_rate': 0.0, 'feed_forward_size': 256, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0002804423274938017
"{'batch_size': 64, 'd_model': 64, 'dropout_rate': 0.0, 'feed_forward_size': 256, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.000495195621624589
"{'batch_size': 64, 'd_model': 64, 'dropout_rate': 0.0, 'feed_forward_size': 256, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0007180004613474011
"{'batch_size': 64, 'd_model': 64, 'dropout_rate': 0.0, 'feed_forward_size': 256, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.011940056458115578
"{'batch_size': 64, 'd_model': 64, 'dropout_rate': 0.2, 'feed_forward_size': 128, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.00035069629666395485
"{'batch_size': 64, 'd_model': 64, 'dropout_rate': 0.2, 'feed_forward_size': 128, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0007261278806254268
"{'batch_size': 64, 'd_model': 64, 'dropout_rate': 0.2, 'feed_forward_size': 128, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0004057849873788655
"{'batch_size': 64, 'd_model': 64, 'dropout_rate': 0.2, 'feed_forward_size': 128, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0004741398443002254
"{'batch_size': 64, 'd_model': 64, 'dropout_rate': 0.2, 'feed_forward_size': 256, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.00026463763788342476
"{'batch_size': 64, 'd_model': 64, 'dropout_rate': 0.2, 'feed_forward_size': 256, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0005476652877405286
"{'batch_size': 64, 'd_model': 64, 'dropout_rate': 0.2, 'feed_forward_size': 256, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.00034043678897432983
